Модель,CHR@5,Coverage,MeanSim@5,ILD@5
"w=0.7 (оптимальный, Coverage=1.0)",0.936,1.0,0.72,0.355
w=0.9  (макс. CHR без огр. Coverage),0.94,0.994,0.824,0.241
